Page,Title,Brand,Reference,Category,Subcategory,Availability,PriceHT,PriceTTC,SalePriceHT,SalePriceTTC,DiscountPercentage,ID,dateDebutPromo,dateFinPromo,product url,EAN
1, Projecteur & conteur d'histoires Disney Baby,Clementoni,943464,Jeux d'éveil,Activités d'éveil,Available in central stock,34.99,41.99,33.33,39.99,5.0,279859,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-deveil/activites/ref-943464--projecteur-&-conteur-dhistoires-disney-baby.htm,
1,Tracteur à pédales Claas avec remorque,Falk,741357,Jeux d'extérieur,Tracteurs à pédales,Available in central stock,65.83,78.99,62.49,74.99,5.0,215298,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/tracteurs/ref-741357-tracteur-a-pedales-claas-avec-remorque.htm,3016200204138.0
1,Toboggan KS - Smoby Life,Smoby,982832,Jeux d'extérieur,Toboggans,Available in central stock,62.49,74.99,58.33,69.99,7.0,320389,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/toboggans/ref-982832-toboggan-ks---smoby-life.htm,3032168205109.0
1,Centre multisport interactif,VTech,866215,Jeux d'éveil,Activités d'éveil,Available in central stock,45.83,54.99,34.37,41.24,25.0,233969,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-deveil/activites/ref-866215-centre-multisport-interactif.htm,3417765335051.0
2,Centre multisport interactif,VTech,866215,Jeux d'éveil,Activités d'éveil,Available in central stock,45.83,54.99,34.37,41.24,25.0,233969,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-deveil/activites/ref-866215-centre-multisport-interactif.htm,3417765335051.0
2,Bac à sable Tortue,Little Tikes,922208,Jeux d'extérieur,Bacs à sable,Available in central stock,45.83,54.99,41.66,49.99,9.0,248055,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/bacs/ref-922208-bac-a-sable-tortue.htm,50743488115.0
2,Figurine 12 cm MixMashers Marvel Spiderman,Hasbro,985699,Jeux d'imitation & Mondes imaginaires,Figurines,Available in central stock,10.83,12.99,9.16,10.99,15.0,323135,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dimitation--mondes-imaginaires/figurines/ref-985699-figurine-12-cm-mixmashers-marvel-spiderman.htm,5010996251701.0
2,Maison Smoby Pilotis Square - Aire de jeu avec toboggan,Smoby,982843,Jeux d'extérieur,Cabanes et maisonnettes,Available in central stock,279.16,334.99,266.66,319.99,4.0,320377,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/cabanes/ref-982843-maison-smoby-pilotis-square---aire-de-jeu-avec-toboggan.htm,3032168108028.0
2,Piles High Energy LR06 5 + 1,Varta,248351,Jeux & Jouets,Piles et emballages,Available in central stock,5.83,6.99,4.99,5.99,14.0,211217,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux--jouets/piles/ref-248351-piles-high-energy-lr06-5-+-1.htm,
2,Draisienne évolutive bleu et blanc ,SUN and SPORT,853578,Jeux Sportifs,Draisiennes,Available in central stock,33.33,39.99,29.16,34.99,13.0,230224,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/draisiennes/ref-853578-draisienne-evolutive-bleu-et-blanc-.htm,8053735006221.0
